STRUCTURE,STRUCTURE_ID,freq: Time frequency,unit: Unit of measure,iscedf13: ISCED Fields of education and training (ISCED-F 2013),isced11: International Standard Classification of Education (ISCED 2011),sex: Sex,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,M: Males,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,M: Males,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,M: Males,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2015,,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5: Short-cycle tertiary education,T: Total,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2015,,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2016,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2017,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),F: Females,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2015,,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2016,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2017,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),M: Males,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2015,,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2016,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2017,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED5-8: Tertiary education (levels 5-8),T: Total,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,F: Females,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,M: Males,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED6: Bachelor's or equivalent level,T: Total,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,F: Females,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,M: Males,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED7: Master's or equivalent level,T: Total,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2016,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2017,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,F: Females,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2016,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2017,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,M: Males,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2015,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2016,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2017,0,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F00: Generic programmes and qualifications,ED8: Doctoral or equivalent level,T: Total,IT: Italy,2023,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2015,,d: definition differs (see metadata),
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2016,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2017,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2018,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2019,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2020,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2021,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2022,0,,
dataflow,ESTAT:EDUC_UOE_ENRT03(1.0),A: Annual,NR: Number,F000: Generic programmes and qualifications not further defined,ED5: Short-cycle tertiary education,F: Females,IT: Italy,2023,0,,
